Nama,Kategori,Harga,Waktu_Makan,Lokasi,Deskripsi,Rating,Waktu_Persiapan,Popularitas,Ketersediaan
Cireng Bumbu Rujak,Pedas,10000,Camilan,Jawa Barat,Cireng renyah dengan cocolan bumbu rujak pedas manis.,4,10,800,89
Cireng Isi Ayam Suwir,Gurih/Umami,12000,Camilan,Jawa Barat,Cireng goreng dengan isian ayam suwir pedas.,4.1,15,820,90
Seblak Kerupuk Pedas,Pedas,18000,Camilan,Jawa Barat,Seblak dengan dominasi kerupuk,4.5,15,900,93
Seblak Mi Instan,Pedas,20000,Camilan,Jawa Barat,Seblak dengan tambahan mi instan,4.6,15,920,95
Baso Aci Kuah,Pedas,20000,Camilan,Jawa Barat,Baso aci dengan kuah pedas,4.7,15,950,97
Combro Pedas,Pedas,7000,Camilan,Jawa Barat,Singkong parut goreng isi oncom pedas,4,10,750,88
Misro Gula Merah,Manis,7000,Camilan,Jawa Barat,Singkong parut goreng isi gula merah lumer,4.1,10,780,89
Colenak,Manis,15000,Camilan,Jawa Barat,Tapai bakar dengan saus kinca gula merah dan parutan kelapa.,4.2,10,800,90
Peuyeum Sampeu,Manis,10000,Camilan,Jawa Barat,Tapai singkong,4,NaN,700,85
Dodol Garut,Manis,25000,Camilan,Jawa Barat,Makanan manis kenyal dari beras ketan,4.5,NaN,900,95
Wajik Bandung,Manis,20000,Camilan,Jawa Barat,Wajik dari ketan dan gula merah,4.1,NaN,780,89
Surabi Oncom,Gurih/Umami,10000,Camilan,Jawa Barat,Serabi dengan topping oncom pedas,4.2,10,800,90
Surabi Keju,Manis,15000,Camilan,Jawa Barat,Serabi dengan topping keju,4.3,10,850,91
Surabi Cokelat,Manis,12000,Camilan,Jawa Barat,Serabi dengan topping meses cokelat.,4.2,10,820,90
Nasi Tutug Oncom,Gurih/Umami,28000,Sarapan,Jawa Barat,Nasi yang dicampur oncom,4.4,15,870,92
Nasi Timbel Komplit,Gurih/Umami,35000,Makan Siang,Jawa Barat,Nasi yang dibungkus daun pisang,4.6,20,900,94
Karedok Leunca,Gurih/Umami,18000,Makan Siang,Jawa Barat,Karedok dengan tambahan leunca (terung kecil),3.8,10,650,80
Gepuk Daging Sapi,Gurih/Umami,40000,Makan Siang,Jawa Barat,Daging sapi goreng empuk dengan bumbu manis gurih.,4.7,30,920,95
Tumis Genjer Oncom,Gurih/Umami,20000,Makan Siang,Jawa Barat,Tumisan genjer dengan oncom,4,15,700,85
Sayur Asem Khas Sunda,Asam,18000,Makan Siang,Jawa Barat,Sayur asem dengan bumbu dan isian khas Sunda.,4.3,20,850,90
Nasi Liwet Sunda,Gurih/Umami,35000,Makan Malam,Jawa Barat,Nasi liwet dengan lauk pauk Sunda,4.8,60,950,97
Sambal Dadak,Pedas,10000,Semua,Jawa Barat,Sambal segar yang diulek dadakan.,4.5,5,900,95
Tahu Sumedang Goreng,Gurih/Umami,15000,Camilan,Jawa Barat,Tahu khas Sumedang yang digoreng,4.3,10,880,92
Sate Maranggi Purwakarta,Gurih/Umami,40000,Makan Malam,Jawa Barat,Sate daging sapi tanpa bumbu kacang,4.8,25,960,98
Soto Betawi Daging Sapi,Gurih/Umami,40000,Makan Siang,Jakarta,Soto Betawi dengan potongan daging sapi,4.7,30,950,97
Soto Betawi Ayam,Gurih/Umami,35000,Makan Siang,Jakarta,Soto Betawi dengan potongan ayam,4.5,30,900,93
Nasi Uduk Komplit,Gurih/Umami,28000,Sarapan,Jakarta,Nasi uduk dengan lauk lengkap (ayam goreng),4.6,20,920,95
Kerak Telor Spesial,Gurih/Umami,25000,Camilan,Jakarta,Kerak telor dengan porsi lebih besar dan isian melimpah.,4.7,15,950,97
Gabus Pucung,Gurih/Umami,45000,Makan Siang,Jakarta,Ikan gabus yang dimasak dengan bumbu kluwek,4,30,700,85
Sayur Gabus Wijen,Gurih/Umami,40000,Makan Siang,Jakarta,Sayur gabus dengan tambahan wijen,3.9,25,680,82
Asinan Jakarta,Asam,25000,Makan Siang,Jakarta,Asinan sayur dengan kuah kacang,4.4,15,880,92
Es Selendang Mayang,Manis,12000,Semua,Jakarta,Minuman segar dari kue kenyal warna-warni dengan santan dan gula merah.,4.1,10,780,89
Roti Buaya,Manis,70000,Camilan,Jakarta,Roti berbentuk buaya,4,120,600,70
Kue Semprong,Manis,15000,Camilan,Kepulauan Riau,Kue kering renyah berbentuk gulungan atau lipatan.,4.2,20,800,90
Kue Cubit Red Velvet,Manis,15000,Camilan,Kepulauan Riau,Kue cubit dengan rasa red velvet.,4.5,10,880,92
Kue Cubit Taro,Manis,15000,Camilan,Kepulauan Riau,Kue cubit dengan rasa taro (ubi ungu).,4.4,10,850,91
Es Puter Cokelat,Manis,18000,Semua,Kepulauan Riau,Es puter dengan rasa cokelat,4.3,10,850,90
Es Puter Kacang Hijau,Manis,18000,Semua,Kepulauan Riau,Es puter dengan rasa kacang hijau,4.2,10,800,89
Es Krim Gulo Jowo,Manis,20000,Semua,Kepulauan Riau,Es krim dengan pemanis gula jawa,4,10,750,88
Cokelat Tempe,Manis,25000,Camilan,Kepulauan Riau,Cokelat dengan campuran keripik tempe,3.8,15,650,70
Keripik Buah Nangka,Manis,20000,Camilan,Kepulauan Riau,Keripik dari buah nangka,4,30,700,85
Keripik Buah Salak,Manis,20000,Camilan,Kepulauan Riau,Keripik dari buah salak,3.9,30,680,82
Keripik Buah Apel,Manis,22000,Camilan,Kepulauan Riau,Keripik dari buah apel,4.1,30,750,88
Keripik Talas,Gurih/Umami,15000,Camilan,Kepulauan Riau,Keripik dari talas,4,20,700,85
Keripik Ubi Ungu,Manis,15000,Camilan,Kepulauan Riau,Keripik dari ubi ungu,4.1,20,780,89
Kue Leker,Manis,7000,Camilan,Jawa Tengah,Kue tipis renyah dengan berbagai isian,4.2,5,850,91
Roti Bakar Keju Susu,Manis,18000,Camilan,Kepulauan Riau,Roti bakar dengan taburan keju dan susu kental manis.,4.5,8,900,93
Roti Bakar Cokelat Keju,Manis,20000,Camilan,Kepulauan Riau,Roti bakar dengan meses cokelat dan keju parut.,4.6,8,920,95
Ketela Pohon Goreng,Gurih/Umami,10000,Camilan,Kepulauan Riau,Singkong goreng,4,10,700,85
Ubi Cilembu Bakar,Manis,15000,Camilan,Jawa Barat,Ubi Cilembu yang dibakar,NaN,20,800,90
Pisang Bakar Cokelat Keju,Manis,20000,Camilan,Kepulauan Riau,Pisang bakar dengan topping cokelat dan keju.,4.5,10,880,92
Jagung Bakar Manis Pedas,Pedas,15000,Camilan,Kepulauan Riau,Jagung bakar dengan bumbu manis pedas.,4.3,10,850,91
Jagung Rebus,Manis,10000,Camilan,Kepulauan Riau,Jagung manis yang direbus.,4,10,700,85
Tahu Isi Udang,Gurih/Umami,15000,Camilan,Kepulauan Riau,Tahu goreng isi adonan udang,4.2,15,800,89
Tempe Mendoan,Gurih/Umami,10000,Camilan,Jawa Tengah,Tempe goreng setengah matang,4.4,10,900,93
Bakwan Jagung,Gurih/Umami,8000,Camilan,Kepulauan Riau,Gorengan dari adonan tepung dan jagung pipil.,4.1,10,780,88
Bakwan Sayur,Gurih/Umami,8000,Camilan,Kepulauan Riau,Gorengan dari adonan tepung dan sayuran.,4,10,750,87
Cumi Goreng Tepung,Gurih/Umami,35000,Makan Siang,Kepulauan Riau,Cumi yang digoreng dengan balutan tepung renyah.,4.5,20,900,94
Udang Goreng Tepung,Gurih/Umami,35000,Makan Siang,Kepulauan Riau,Udang yang digoreng dengan balutan tepung renyah.,4.5,20,900,94
Ikan Bakar Bumbu Jimbaran,Gurih/Umami,60000,Makan Malam,Bali,Ikan bakar dengan bumbu khas Jimbaran,4.8,30,950,97
Sate Lilit Ayam,Gurih/Umami,35000,Makan Malam,Bali,Sate lilit dari daging ayam cincang,4.7,25,920,95
Sate Lilit Ikan,Gurih/Umami,35000,Makan Malam,Bali,Sate lilit dari daging ikan cincang,4.6,25,900,93
Lawar Ayam,Gurih/Umami,30000,Makan Siang,Bali,Campuran sayuran dan daging ayam cincang dengan bumbu Bali.,4.5,20,880,92
Lawar Merah,Gurih/Umami,35000,Makan Siang,Bali,Lawar dengan tambahan darah (babi/ayam),3.5,20,600,70
Tum Ayam,Gurih/Umami,25000,Makan Siang,Bali,Daging ayam cincang dengan bumbu Bali,4.2,25,800,89
Jukut Ares,Gurih/Umami,20000,Makan Siang,Bali,Sayur berkuah dari batang pisang muda,3.9,20,680,82
Babi Guling Komplit,Gurih/Umami,60000,Makan Malam,Bali,Babi guling dengan semua bagian tubuh babi,4.9,180,980,99
Plecing Kangkung,Pedas,18000,Makan Siang,Nusa Tenggara Barat,Kangkung rebus dengan sambal plecing pedas khas Nusa Tenggara Barat.,4.5,10,900,93
Ayam Taliwang Pedas,Pedas,40000,Makan Malam,Nusa Tenggara Barat,Ayam bakar pedas khas Nusa Tenggara Barat,4.8,30,960,98
Sate Bulayak,Gurih/Umami,30000,Makan Siang,Nusa Tenggara Barat,Sate daging dengan lontong bulayak dan bumbu khas Nusa Tenggara Barat.,4.6,20,920,95
Nasi Balap Puyung,Pedas,28000,Makan Siang,Nusa Tenggara Barat,Nasi campur pedas khas Nusa Tenggara Barat,4.7,15,950,97
Bebek Betutu Gianyar,Pedas,70000,Makan Malam,Bali,Bebek utuh yang dimasak dengan bumbu betutu khas Gianyar,4.9,360,990,99
Ayam Betutu Khas Gilimanuk,Pedas,60000,Makan Malam,Bali,Ayam utuh yang dimasak dengan bumbu betutu khas Gilimanuk.,4.8,240,970,98
Sate Plecing,Pedas,30000,Makan Siang,Bali,Sate ayam atau babi dengan bumbu plecing pedas.,4.5,20,880,92
Nasi Jinggo Ayam Suwir,Gurih/Umami,15000,Sarapan,Bali,Nasi porsi kecil dengan ayam suwir pedas,4.3,10,850,91
Nasi Jinggo Ikan Tongkol,Gurih/Umami,15000,Sarapan,Bali,Nasi porsi kecil dengan ikan tongkol,4.2,10,820,90
Tumis Pakis Belacan,Gurih/Umami,20000,Makan Siang,Sumatera Utara,Tumisan pakis dengan terasi (belacan),4,15,700,85
Gulai Ikan Patin,Gurih/Umami,35000,Makan Siang,Riau,Gulai ikan patin dengan kuah kuning kental.,4.4,25,850,90
Mie Sagu Kuah,Gurih/Umami,25000,Makan Siang,Riau,Mie sagu dengan kuah kaldu ikan,4.1,20,780,87
Mie Sagu Goreng,Gurih/Umami,25000,Makan Siang,Riau,Mie sagu yang digoreng dengan aneka topping.,4,20,750,86
Lempuk Durian,Manis,30000,Camilan,Riau,Dodol dari buah durian,4.5,NaN,880,92
Bolu Kemojo,Manis,28000,Camilan,Riau,Kue bolu khas Riau dengan aroma pandan,4.3,40,850,90
Ikan Salai Asap,Gurih/Umami,40000,Makan Malam,Riau,Ikan yang diasap,4.2,NaN,780,89
Gulai Asam Pedas Ikan Baung,Pedas,45000,Makan Siang,Jambi,Gulai ikan baung dengan kuah asam pedas,4.6,30,900,93
Tempoyak Ikan Patin,Asam,35000,Makan Siang,Jambi,Ikan patin yang dimasak dengan tempoyak (fermentasi durian).,4.5,25,880,92
Nasi Gemuk,Gurih/Umami,25000,Sarapan,Jambi,Nasi gurih dengan santan dan rempah,4.1,15,750,88
Pempek Kapal Selam Kecil,Asin,20000,Camilan,Sumatera Selatan,Pempek kapal selam ukuran kecil,4.5,20,880,92
Pempek Pastel,Asin,18000,Camilan,Sumatera Selatan,Pempek berbentuk pastel,4.4,15,850,91
Pindang Ikan Patin,Asam,35000,Makan Siang,Sumatera Selatan,Sup ikan patin dengan kuah asam pedas khas Palembang.,4.7,25,920,95
Pindang Tulang,Asam,40000,Makan Siang,Sumatera Selatan,Sup tulang sapi dengan kuah asam pedas khas Palembang.,4.6,30,900,94
Mi Celor,Gurih/Umami,28000,Sarapan,Sumatera Selatan,Mi dengan kuah santan kental,4.5,20,880,92
Es Kacang Merah,Manis,18000,Semua,Sumatera Selatan,Es serut dengan kacang merah rebus,4.3,10,850,90
Kue Kojo,Manis,25000,Camilan,Sumatera Selatan,Kue basah dari tepung beras,4.1,30,780,89
Lempok Durian,Manis,30000,Camilan,Sumatera Selatan,Mirip dodol durian,4.5,NaN,880,92
Engkak Ketan,Manis,35000,Camilan,Sumatera Selatan,Kue lapis dari tepung ketan,4,40,700,85
Kue Maksuba,Manis,40000,Camilan,Sumatera Selatan,Kue lapis dengan banyak telur dan gula,4.2,60,750,88
Kue Delapan Jam,Manis,50000,Camilan,Sumatera Selatan,Kue lapis yang dikukus selama delapan jam,4.5,480,850,90
Gulai Masin Ikan Kakap,Pedas,50000,Makan Malam,Sumatera Selatan,Gulai ikan kakap dengan rasa asin pedas,4.7,35,920,95
Tempoyak Udang,Asam,38000,Makan Siang,Sumatera Selatan,Udang yang dimasak dengan tempoyak.,25,880,92,
Gulai Ikan Baung Tempoyak,Asam,40000,Makan Siang,Jambi,Gulai ikan baung dengan tempoyak,4.6,30,900,93
Kue Bangkit,Manis,15000,Camilan,Riau,Kue kering dari sagu,3.9,20,680,82
Bolu Berendam,Manis,28000,Camilan,Riau,Bolu yang direndam dalam sirup gula,4,30,700,85
Asam Pedas Ikan Pari,Pedas,35000,Makan Siang,Kepulauan Riau,Ikan pari berkuah asam pedas,4.5,25,880,92
Nasi Lemak Ayam Goreng,Gurih/Umami,28000,Sarapan,Kepulauan Riau,Nasi lemak dengan ayam goreng,4.6,20,920,95
Nasi Lemak Ikan Bilis,Gurih/Umami,25000,Sarapan,Kepulauan Riau,Nasi lemak dengan ikan bilis (teri),4.4,15,850,90
Mie Lendir,Gurih/Umami,25000,Makan Siang,Kepulauan Riau,Mie dengan kuah kental mirip lendir,3.8,20,650,75
Kue Bingka Bakar,Manis,20000,Camilan,Kepulauan Riau,Kue bingka yang dipanggang,4.1,30,780,89
Lempeng Sagu,Manis,10000,Camilan,Kepulauan Riau,Roti pipih dari sagu,3.9,15,680,82
Nasi Ayam Hainan,Gurih/Umami,35000,Makan Siang,Kepulauan Riau,Nasi ayam Hainan,4.7,25,930,96
Kue Batang Buruk,Manis,15000,Camilan,Kepulauan Riau,Kue kering renyah berbentuk batang tipis,3.8,20,650,70
Talam Sagu,Manis,12000,Camilan,Kepulauan Riau,Kue talam dengan bahan dasar sagu,4,20,700,85
Kue Putu Piring,Manis,10000,Camilan,Kepulauan Riau,Kue putu yang dikukus di atas piring,4.1,15,750,88
Cokelat Monggo,Manis,25000,Camilan,DIY Yogyakarta,Cokelat artisanal khas Yogyakarta,4.5,NaN,880,92
Yangko,Manis,15000,Camilan,DIY Yogyakarta,Makanan kenyal dari tepung ketan,4,NaN,700,85
Geplak,Manis,18000,Camilan,DIY Yogyakarta,Makanan manis dari kelapa parut dan gula,4.1,NaN,750,88
Gudeg Kering,Gurih/Umami,35000,Makan Siang,DIY Yogyakarta,Gudeg dengan kuah kering,4.6,180,900,94
Bakpia Pathok Premium,Manis,30000,Camilan,DIY Yogyakarta,Bakpia dengan kualitas premium,4.7,NaN,950,97
Wedang Secang,Manis,15000,Semua,DIY Yogyakarta,Minuman hangat dari kayu secang dan rempah,4,5,700,85
Jadah Tempe,Gurih/Umami,15000,Camilan,DIY Yogyakarta,Ketan uli dengan tempe bacem,4.3,10,850,90
Sate Kere,Gurih/Umami,25000,Makan Siang,DIY Yogyakarta,Sate gajih sapi atau jeroan dengan bumbu khas.,4.2,20,800,89
Jenang Grendul,Manis,10000,Camilan,Jawa Tengah,Jenang dengan bulatan kenyal dari tepung beras,4.1,15,750,88
Lumpia Semarang Basah,Gurih/Umami,20000,Camilan,Jawa Tengah,Lumpia dengan isian rebung dan udang,4.3,15,850,90
Tahu Petis Semarang,Gurih/Umami,15000,Camilan,Jawa Tengah,Tahu goreng dengan cocolan petis kental khas Semarang.,4.4,10,880,92
Wingko Babat,Manis,18000,Camilan,Jawa Tengah,Kue dari kelapa parut dan gula,4,20,700,85
Bandeng Presto,Gurih/Umami,35000,Makan Siang,Jawa Tengah,Ikan bandeng yang dimasak presto,4.5,60,900,93
Nasi Grombyang,Gurih/Umami,30000,Makan Siang,Jawa Tengah,Nasi dengan kuah soto daging,4.2,25,800,89
Lontong Dekem,Gurih/Umami,25000,Makan Siang,Jawa Tengah,Lontong dengan kuah santan kental,4.1,20,750,88
Sate Blengong,Gurih/Umami,35000,Makan Malam,Jawa Tengah,Sate dari daging blengong (itik entok),4.3,25,820,90
Sate Kerbau Kudus,Gurih/Umami,40000,Makan Malam,Jawa Tengah,Sate daging kerbau dengan bumbu khas Kudus.,4.6,30,900,94
Nasi Gandul Pati,Gurih/Umami,30000,Makan Siang,Jawa Tengah,Nasi dengan kuah santan kental dan aneka lauk,4.5,20,880,92
Tahu Campur Magelang,Gurih/Umami,25000,Makan Siang,Jawa Tengah,Tahu campur dengan bumbu dan isian khas Magelang.,4,15,750,88
Mangut Lele,Pedas,28000,Makan Malam,Jawa Tengah,Ikan lele asap yang dimasak kuah santan pedas.,4.4,20,850,90
Nasi Pecel Madiun,Gurih/Umami,22000,Sarapan,Jawa Timur,Nasi pecel dengan bumbu kacang khas Madiun,4.5,10,900,93
Sate Ponorogo,Gurih/Umami,35000,Makan Malam,Jawa Timur,Sate ayam dengan bumbu kacang khas Ponorogo.,4.7,25,950,97
Pecel Lele Lamongan,Gurih/Umami,25000,Makan Malam,Jawa Timur,Ikan lele goreng dengan sambal pecel,4.6,15,920,95
Tahu Tek-tek,Gurih/Umami,20000,Makan Siang,Jawa Timur,Tahu goreng,4.3,15,850,90
Rujak Cingur Komplit,Gurih/Umami,35000,Makan Siang,Jawa Timur,Rujak cingur dengan isian lengkap (daging cingur,4.7,20,930,96
Sate Kelapa,Gurih/Umami,30000,Makan Malam,Jawa Timur,Sate daging dengan parutan kelapa,4.5,25,880,92
Lontong Balap Komplit,Gurih/Umami,28000,Makan Siang,Jawa Timur,Lontong balap dengan semua topping (lentho,4.3,20,850,90
Nasi Campur Bali,Gurih/Umami,35000,Makan Siang,Bali,Nasi dengan aneka lauk pauk khas Bali.,4.7,20,950,97
Tipat Kuah,Gurih/Umami,25000,Makan Siang,Bali,Ketupat dengan kuah santan dan sayuran,4,20,700,85
Jukut undis,Gurih/Umami,20000,Makan Siang,Bali,Sayur berkuah dari kacang undis,3.9,15,680,82
Nasi Goreng,Gurih/Umami,32000,Makan Malam,Jakarta,Hidangan nasi yang digoreng dengan bumbu khas,4.7,20,950,98
Mi Goreng,Gurih/Umami,28000,Makan Siang,Jawa Tengah,Mi yang ditumis dengan aneka sayuran,4.5,25,890,93
Sate Ayam,Gurih/Umami,35000,Makan Malam,Jawa Timur,Potongan daging ayam yang ditusuk dan dibakar,4.8,30,920,96
Sate Kambing,Gurih/Umami,45000,Makan Malam,Jawa Tengah,Potongan daging kambing yang dibakar,4.6,35,880,90
Rendang,Gurih/Umami,60000,Semua,Sumatera Barat,Daging sapi yang dimasak perlahan dalam santan dan rempah-rempah,4.9,60,999,100
Soto Ayam,Gurih/Umami,29000,Makan Siang,Jawa Timur,Sup ayam berkuah bening kekuningan dengan suwiran ayam,4.4,25,870,91
Soto Daging,Gurih/Umami,38000,Makan Siang,Jawa Tengah,Sup dengan irisan daging sapi,4.5,30,850,89
Bakso,Gurih/Umami,25000,Semua,Jawa Timur,Bola-bola daging lembut dalam kuah kaldu yang gurih,4.3,20,910,94
Mie Ayam,Gurih/Umami,22000,Makan Siang,Jakarta,Mi rebus dengan topping ayam cincang gurih,4.2,15,840,92
Gado-gado,Gurih/Umami,27000,Makan Siang,Jakarta,Salad sayuran rebus dengan lontong,4.4,20,800,88
Pecel,Gurih/Umami,20000,Sarapan,Jawa Timur,Sayuran rebus dengan bumbu kacang pedas,4,15,750,85
Rawon,Gurih/Umami,42000,Makan Malam,Jawa Timur,Sup daging sapi berkuah hitam pekat dari kluwek,4.7,45,900,93
Konro,Gurih/Umami,55000,Makan Malam,Sulawesi Selatan,Iga sapi bakar atau rebus dengan kuah rempah kental,4.8,50,930,97
Coto Makassar,Gurih/Umami,40000,Sarapan,Sulawesi Selatan,Sup daging sapi berkuah kental dengan bumbu yang kuat,4.6,35,860,90
Pempek,Asin,20000,Camilan,Sumatera Selatan,Kudapan dari ikan dan tepung sagu,4.5,25,940,95
Tekwan,Asin,28000,Makan Siang,Sumatera Selatan,Sup dengan bola-bola ikan,4.2,30,810,88
Model,Asin,26000,Makan Siang,Sumatera Selatan,Mirip pempek dengan tahu dan mi,4.1,28,780,86
Otak-otak,Asin,18000,Camilan,Jakarta,Olahan ikan cincang yang dibungkus daun pisang dan dibakar,4,20,720,85
Martabak Manis,Manis,30000,Semua,Jawa Barat,Kue tebal dengan tekstur empuk,4.6,15,960,99
Martabak Telur,Gurih/Umami,38000,Makan Malam,Jakarta,Adonan kulit tipis diisi campuran telur,4.7,25,900,94
Ikan Bakar,Gurih/Umami,48000,Makan Malam,Bali,Berbagai jenis ikan segar yang dibumbui dan dibakar sempurna,4.7,35,910,95
Ayam Bakar,Gurih/Umami,35000,Makan Siang,Jawa Barat,Potongan ayam yang dibumbui rempah dan dibakar hingga matang merata.,4.6,30,890,93
Bebek Bakar,Gurih/Umami,40000,Makan Malam,Jawa Timur,Bebek yang dibumbui dan dibakar hingga empuk dengan aroma khas.,4.5,40,850,90
Udang Bakar,Gurih/Umami,42000,Makan Malam,Sulawesi Selatan,Udang segar yang dibakar dengan bumbu pedas manis,4.7,25,880,92
Kepiting Saus Padang,Pedas,85000,Makan Malam,Jakarta,Kepiting segar dengan saus pedas manis khas Padang,4.8,50,960,98
Cumi Saus Tiram,Gurih/Umami,45000,Makan Siang,Jakarta,Potongan cumi yang ditumis dengan saus tiram gurih,4.4,20,840,89
Gurame Bakar,Gurih/Umami,70000,Makan Malam,Jawa Barat,Ikan gurame besar yang dibakar dengan bumbu manis pedas,4.7,40,920,94
Lele Goreng,Gurih/Umami,25000,Makan Siang,Jawa Timur,Ikan lele yang digoreng garing,4,15,780,86
Nila Goreng,Gurih/Umami,30000,Makan Siang,Jawa Tengah,Ikan nila yang digoreng hingga renyah,4.1,18,800,87
Ayam Goreng,Gurih/Umami,28000,Makan Siang,Jakarta,Potongan ayam yang digoreng hingga garing di luar dan lembut di dalam.,4.3,20,900,95
Bebek Goreng,Gurih/Umami,38000,Makan Siang,Jawa Timur,Bebek yang digoreng hingga renyah dengan bumbu khas,4.4,25,860,91
Tempe Mendoan,Gurih/Umami,15000,Camilan,Jawa Tengah,Tempe goreng tipis yang dibalut adonan tepung,4.2,10,750,90
Tahu Isi,Gurih/Umami,12000,Camilan,Jawa Barat,Tahu goreng yang diisi dengan sayuran dan kadang daging cincang,4,15,,88
Bakwan,Gurih/Umami,8000,Camilan,Jakarta,Gorengan sayuran dengan adonan tepung,3.9,10,720,85
Cireng,Asin,10000,Camilan,Jawa Barat,Aci digoreng,3.8,,650,80
Cilok,Asin,8000,Camilan,Jawa Barat,Aci dicolok,3.7,15,700,82
Cimol,Asin,8000,Camilan,Jawa Barat,Aci digemol,3.6,10,680,79
Misro,Manis,7000,Camilan,Jawa Barat,Kue singkong parut dengan isian gula merah,3.9,15,600,83
Combro,Asin,7000,Camilan,Jawa Barat,Oncom di jero,3.8,15,620,81
Getuk,Manis,10000,Camilan,Jawa Tengah,Olahan singkong kukus yang dihaluskan,4,20,700,85
Klepon,Manis,8000,Camilan,Jawa Tengah,Bola ketan hijau dengan isian gula merah cair,4.4,15,780,92
Cenil,Manis,7000,Camilan,Jawa Barat,Kue kenyal berwarna-warni dari tepung kanji,4,10,680,85
Lupis,Manis,9000,Camilan,Jawa Timur,Kue ketan berbentuk segitiga atau silinder,4.2,20,720,88
Nagasari,Manis,10000,Camilan,Jawa Tengah,Kue pisang kukus yang dibungkus daun pisang,4.1,25,700,89
Dadar Gulung,Manis,9000,Camilan,Jawa Barat,Dadar tipis berwarna hijau digulung dengan isian kelapa parut dan gula merah.,4.3,15,750,90
Kue Putu,Manis,8000,Camilan,Jawa Timur,Kue kukus berwarna hijau dengan isian gula merah,4.2,10,730,87
Onde-onde,Manis,12000,Camilan,Jakarta,Bola ketan berisi kacang hijau,4.4,20,800,91
Bolu Kukus,Manis,15000,Camilan,Jawa Barat,Bolu yang dikukus,4.1,25,760,90
Serabi,Manis,10000,Sarapan,Jawa Barat,Pancake beras tradisional,4.3,15,700,86
Apem,Manis,9000,Camilan,Jawa Tengah,Kue tepung beras yang dikukus,,15,650,84
Wingko Babat,Manis,20000,Camilan,Jawa Timur,Kue kelapa panggang khas Babat,4.5,20,800,90
Brem,Manis,18000,Camilan,Jawa Timur,Makanan fermentasi dari beras ketan,3.8,,550,78
Jenang Kudus,Manis,25000,Camilan,Jawa Tengah,Dodol khas Kudus yang lembut dan legit,4.6,40,850,93
Dodol,Manis,22000,Camilan,Jawa Barat,Kudapan manis kenyal dari beras ketan dan gula,4.3,35,820,91
Wajik,Manis,17000,Camilan,Jawa Tengah,Kue ketan manis dengan gula merah dan santan,4,25,700,87
Jadah,Gurih/Umami,15000,Camilan,DIY Yogyakarta,Olahan ketan pulen yang dikukus dan ditumbuk,4.1,20,720,86
Intip,Asin,10000,Camilan,Jawa Tengah,Kerak nasi yang dikeringkan dan digoreng,3.9,15,680,80
Kerupuk,Asin,5000,Semua,Kepulauan Riau,Makanan ringan renyah pelengkap hidangan,3.5,5,990,100
Keripik,Manis,12000,Camilan,Kepulauan Riau,Potongan tipis bahan (buah/sayur) yang digoreng hingga renyah.,4,10,800,92
Emping,Asin,15000,Camilan,Jawa Tengah,Keripik renyah dari biji melinjo,4.1,10,750,88
Rempeyek,Gurih/Umami,10000,Camilan,Jawa Tengah,Keripik renyah dari tepung beras dengan isian kacang atau rebon,4.2,15,790,88
Peyek Kacang,Gurih/Umami,12000,Camilan,Jawa Timur,Rempeyek dengan isian kacang tanah utuh,4.3,15,810,90
Peyek Udang,Gurih/Umami,15000,Camilan,Jawa Barat,Rempeyek dengan taburan udang rebon,4.4,18,830,91
Kering Tempe,Gurih/Umami,20000,Semua,Jawa Tengah,Tempe yang digoreng kering dan dibumbui pedas manis,4.5,25,880,94
Sambal Goreng Kentang,Pedas,25000,Semua,Jakarta,Kentang goreng yang dimasak dengan sambal pedas,4.6,30,900,95
Sayur Asem,Asam,18000,Makan Siang,Jawa Barat,Sup sayuran berkuah asam segar dengan kacang tanah,4.1,20,780,89
Sayur Lodeh,Gurih/Umami,20000,Makan Siang,Jawa Timur,Sayuran berkuah santan dengan tempe,4.2,25,810,90
Tumis Kangkung,Gurih/Umami,17000,Makan Siang,Kepulauan Riau,Kangkung yang ditumis cepat dengan bawang putih dan cabai,4,10,750,87
Cah Kangkung,Gurih/Umami,18000,Makan Siang,Kepulauan Riau,Mirip tumis kangkung,4.1,12,760,88
Capcay,Gurih/Umami,30000,Semua,Jakarta,Tumisan berbagai macam sayuran dengan potongan daging atau seafood.,4.5,25,870,93
Fuyunghai,Gurih/Umami,35000,Makan Malam,Jakarta,Telur dadar tebal dengan campuran sayuran dan daging,4.6,30,890,92
Nasi Campur,Gurih/Umami,32000,Makan Siang,Bali,Nasi dengan aneka lauk pauk,4.7,15,920,96
Nasi Rames,Gurih/Umami,28000,Makan Siang,Jawa Tengah,Nasi dengan lauk pauk yang bervariasi,4.3,10,800,88
Nasi Pecel,Gurih/Umami,20000,Sarapan,Jawa Timur,Nasi dengan sayuran rebus yang disiram bumbu kacang pedas,4.1,15,770,87
Nasi Lengko,Gurih/Umami,22000,Sarapan,Jawa Barat,Nasi dengan tahu,4.2,15,760,86
Mie Kocok,Gurih/Umami,30000,Makan Siang,Jawa Barat,Mi kuning dengan irisan kikil,4.4,20,850,90
Sate Lilit,Gurih/Umami,40000,Makan Malam,Bali,Daging cincang (ayam/ikan) yang dililitkan pada batang serai dan dibakar.,4.8,30,930,95
